code,Unnamed: 0,title,pub_date,citations,abstract,class,year,abstract_processed,topic,class_topic,core,louvain,topiclouvain,GTcore
CN110119621B,375,"Attack defense method, system and defense device for abnormal system call ",2020-08-21,"['US10356107B1', 'US9563843B2', 'KR101826865B1', 'US10104107B2', 'CN104303538B', 'AU2017254815B2', 'US10248910B2', 'US10089582B2', 'US20160055335A1', 'US9043905B1', 'US20170024660A1', 'US20140279762A1', 'US9324034B2', 'KR101848576B1', 'US20160078362A1', 'US9774614B2', 'US9721212B2', 'US9910984B2', 'US20170046510A1', 'US20160078347A1', 'US20140187177A1']","
The invention relates to an attack defense method, a system and a defense device for abnormal system call, wherein the attack defense method comprises the following steps: when detecting that a program is executed, acquiring a system calling sequence from an operating system, and returning the system calling sequence to a server side; performing feature coding on the system calling sequence through a second encoder to obtain a corresponding second feature vector set, wherein the second encoder is constructed according to coding parameters of a first encoder in a self-coding and decoding module transmitted from a server; and comparing the second feature vectors in the feature space through a regression equation, and determining whether the system call sequence is normal system call according to the comparison result, wherein the regression equation is obtained by the server side performing regression equation operation on the first feature vector set and is transmitted. By implementing the technical scheme of the invention, the detection effectiveness of unseen malicious software can be effectively improved, and the operation resources can be effectively distributed and the hardware overhead cost can be reduced.
",G06,2020,"
the invention relates to an attack defense method a system and a defense device for abnormal system call wherein the attack defense method comprises the following steps: when detecting that a program is executed acquiring a system calling sequence from an operating system and returning the system calling sequence to a server side; performing feature coding on the system calling sequence through a second encoder to obtain a corresponding second feature vector set wherein the second encoder is constructed according to coding parameters of a first encoder in a self-coding and decoding module transmitted from a server; and comparing the second feature vectors in the feature space through a regression equation and determining whether the system call sequence is normal system call according to the comparison result wherein the regression equation is obtained by the server side performing regression equation operation on the first feature vector set and is transmitted by implementing the technical scheme of the invention the detection effectiveness of unseen malicious software can be effectively improved and the operation resources can be effectively distributed and the hardware overhead cost can be reduced
",0,G06_0,2,5.0,5.0,5.0
US9324034B2,380,On-device real-time behavior analyzer ,2016-04-26,"['US20180167402A1', 'CN105830081B', 'US9369476B2', 'US10045218B1', 'KR20140137003A', 'US9672355B2', 'CN104541293B', 'US20190245876A1', 'US10419458B2', 'EP2908495A1', 'KR101837923B1', 'US10728270B2', 'KR101626243B1', 'US9756066B2', 'US10742676B2', 'JP6050560B1']","
Methods, systems and devices for generating data models in a communication system may include applying machine learning techniques to generate a first family of classifier models using a boosted decision tree to describe a corpus of behavior vectors. Such behavior vectors may be used to compute a weight value for one or more nodes of the boosted decision tree. Classifier models factors having a high probably of determining whether a mobile device behavior is benign or not benign based on the computed weight values may be identified. Computing weight values for boosted decision tree nodes may include computing an exclusive answer ratio for generated boosted decision tree nodes. The identified factors may be applied to the corpus of behavior vectors to generate a second family of classifier models identifying fewer factors and data points relevant for enabling the mobile device to determine whether a behavior is benign or not benign.
",G06,2016,"
methods systems and devices for generating data models in a communication system may include applying machine learning techniques to generate a first family of classifier models using a boosted decision tree to describe a corpus of behavior vectors such behavior vectors may be used to compute a weight value for one or more nodes of the boosted decision tree classifier models factors having a high probably of determining whether a mobile device behavior is benign or not benign based on the computed weight values may be identified computing weight values for boosted decision tree nodes may include computing an exclusive answer ratio for generated boosted decision tree nodes the identified factors may be applied to the corpus of behavior vectors to generate a second family of classifier models identifying fewer factors and data points relevant for enabling the mobile device to determine whether a behavior is benign or not benign
",0,G06_0,2,5.0,5.0,5.0
US20170046510A1,382,Methods and Systems of Building Classifier Models in Computing Devices ,2017-02-16,"['EP3080741A2', 'AU2016204068B2', 'US9779236B2', 'CN105590055B', 'KR20170015129A', 'JP2020510926A', 'US9369476B2', 'KR102057565B1', 'CN104541293B', 'US9742559B2', 'US10122747B2', 'US10419458B2', 'KR101626243B1', 'US9756066B2', 'CN106133642B', 'CN106716382B', 'US9753796B2', 'US20190068627A1']","
Methods, and computing devices implementing the methods, use application-based classifier models to improve the efficiency and performance of a comprehensive behavioral monitoring and analysis system predicting whether a software application is causing undesirable or performance depredating behavior. The application-based classifier models may include a reduced and more focused subset of the decision nodes that are included in a full or more complete classifier model that may be received or generated in the computing device. The application groups may be represented by application groups formed of computing device applications sharing related features, and may be generated using one or more clustering algorithms. Lean classifier models may be generated for each of the application group and may incorporate historical user input regarding execution permissions for features of applications within an application group.
",G06,2017,"
methods and computing devices implementing the methods use application-based classifier models to improve the efficiency and performance of a comprehensive behavioral monitoring and analysis system predicting whether a software application is causing undesirable or performance depredating behavior the application-based classifier models may include a reduced and more focused subset of the decision nodes that are included in a full or more complete classifier model that may be received or generated in the computing device the application groups may be represented by application groups formed of computing device applications sharing related features and may be generated using one or more clustering algorithms lean classifier models may be generated for each of the application group and may incorporate historical user input regarding execution permissions for features of applications within an application group
",0,G06_0,2,5.0,5.0,5.0
US9438620B2,406,Control flow graph representation and classification ,2016-09-06,"['US9147072B2', 'US10140451B2', 'EP3404948B1', 'US10176321B2', 'US10104107B2', 'US20200137097A1', 'US9686023B2', 'US10831893B2', 'US10762206B2', 'EP3191960B1', 'US10834124B2', 'US10121000B1', 'US9607146B2', 'US9189624B2', 'US10248910B2', 'US9756066B2', 'US9774614B2', 'US20190297096A1']","
A software sample is identified that includes code and a control flow graph is generated for each of a plurality of functions included in the sample. Features are identified in each of the functions that correspond to instances of a set of control flow fragment types. A feature set is generated for the sample from the identified features.
",H04,2016,"
a software sample is identified that includes code and a control flow graph is generated for each of a plurality of functions included in the sample features are identified in each of the functions that correspond to instances of a set of control flow fragment types a feature set is generated for the sample from the identified features
",0,H04_0,2,5.0,95.0,5.0
US10783254B2,669,Systems and methods for risk rating framework for mobile applications ,2020-09-22,"['US10148667B2', 'US20190245894A1', 'US10114950B2', 'US9411965B2', 'US9686023B2', 'US9721212B2', 'US10762206B2', 'JP6014286B2', 'US20190311134A1', 'US9357397B2', 'EP2756437B1', 'US20190363893A1', 'US9621570B2', 'US9158604B1', 'US9753796B2', 'US10742676B2', 'US9596257B2', 'US20180041537A1']","
Systems, methods and computer readable medium for training a risk rating system for assessing a risk of a mobile application are disclosed. One or more features representing operational characteristics of mobile applications and malware are extracted. A first learning classifier and a second learning classifier are trained using the extracted features. A machine learning risk rating model is generated, based on the combination of the first learning classifier and the second learning classifier to calculate a risk rating based on the features and a correlation of the features. Systems, methods, and computer readable medium for assessing a risk for a mobile application are also disclosed. One or more features of a mobile application are extracted. A learning classifier is applied to the extracted features. A risk rating is determined based on the result of the classifier.
",G06,2020,"
systems methods and computer readable medium for training a risk rating system for assessing a risk of a mobile application are disclosed one or more features representing operational characteristics of mobile applications and malware are extracted a first learning classifier and a second learning classifier are trained using the extracted features a machine learning risk rating model is generated based on the combination of the first learning classifier and the second learning classifier to calculate a risk rating based on the features and a correlation of the features systems methods and computer readable medium for assessing a risk for a mobile application are also disclosed one or more features of a mobile application are extracted a learning classifier is applied to the extracted features a risk rating is determined based on the result of the classifier
",0,G06_0,2,5.0,5.0,5.0
US9753796B2,698,"Distributed monitoring, evaluation, and response for multiple devices ",2017-09-05,"['US20190245894A1', 'US9344431B2', 'US9852292B2', 'US10482260B1', 'US10104107B2', 'US9411955B2', 'US20190392174A1', 'US10516682B2', 'US10516531B2', 'JP6227666B2', 'US10348771B2', 'US9609456B2', 'US10382459B2', 'US20180041537A1', 'JP2016181265A', 'US10063654B2', 'US10558800B2', 'EP3262815B1', 'US10348759B2', 'US9582668B2', 'US10657277B2', 'US9756066B2']","
Data is collected from a set of devices. The data is associated with the devices, mobile application programs (apps), web applications, users, or combinations of these. A norm is established using the collected data. The norm is compared with data collected from a particular device. If there is a deviation outside of a threshold deviation between the norm and the data collected from the particular device, a response is initiated.
",G06,2017,"
data is collected from a set of devices the data is associated with the devices mobile application programs (apps) web applications users or combinations of these a norm is established using the collected data the norm is compared with data collected from a particular device if there is a deviation outside of a threshold deviation between the norm and the data collected from the particular device a response is initiated
",0,G06_0,2,9.0,5.0,5.0
US10742676B2,699,Distributed monitoring and evaluation of multiple devices ,2020-08-11,"['US20190245894A1', 'US9344431B2', 'US9852292B2', 'US10482260B1', 'US10104107B2', 'US20190392174A1', 'US20190363893A1', 'US10516682B2', 'US20200322372A1', 'US10516531B2', 'JP6227666B2', 'US9330257B2', 'US10348771B2', 'US10382459B2', 'US20180041537A1', 'US10063654B2', 'US10558800B2', 'EP3262815B1', 'US10348759B2', 'US10509911B2', 'US10657277B2', 'US10817602B2', 'US20190349377A1', 'US9756066B2']","
Data is collected from a set of devices according to a data collection policy. The data is associated with device configuration, device state, or device behavior. A norm is established using the collected data. A different data collection policy is established based on the norm. Data is collected from a particular device according to the different data collection policy. The norm is compared to the data collected from the particular device. If there is a deviation outside of a threshold deviation between the norm and the data collected from the particular device, a message is transmitted to an administrator.
",H04,2020,"
data is collected from a set of devices according to a data collection policy the data is associated with device configuration device state or device behavior a norm is established using the collected data a different data collection policy is established based on the norm data is collected from a particular device according to the different data collection policy the norm is compared to the data collected from the particular device if there is a deviation outside of a threshold deviation between the norm and the data collected from the particular device a message is transmitted to an administrator
",0,H04_0,2,9.0,5.0,5.0
CN105531712B,703,The behavioural analysis based on data flow in mobile device ,2018-07-27,"['CN105229612B', 'US20170228603A1', 'JP6732317B2', 'JP6510610B2', 'US9609456B2', 'US9357397B2', 'CN104704472B', 'US8843346B2', 'CN105556482B', 'US9684870B2', 'US9652362B2', 'JP6050560B1', 'CN102859565B', 'US9613476B2', 'KR102057565B1', 'TWI530141B', 'CN107430660B', 'US9491187B2', 'US9756066B2', 'CN104221026B']","
Method, apparatus and system for detecting suspicious or deterioration performance mobile device behavior, the computing device behavior that intelligently, dynamically and/or adaptively determination will be observed, the behavior to be observed quantity and will be to details or granularity level that mobile device behavior is observed.Various aspects efficiently identify suspicious or deterioration performance mobile device behavior without excessive processing, memory or energy resource amount.
",G06,2018,"
method apparatus and system for detecting suspicious or deterioration performance mobile device behavior the computing device behavior that intelligently dynamically and/or adaptively determination will be observed the behavior to be observed quantity and will be to details or granularity level that mobile device behavior is observedvarious aspects efficiently identify suspicious or deterioration performance mobile device behavior without excessive processing memory or energy resource amount
",0,G06_0,2,5.0,5.0,5.0
US9357397B2,753,Methods and systems for detecting malware and attacks that target behavioral security mechanisms of a mobile device ,2016-05-31,"['EP2850524B1', 'US10701091B1', 'US20180025157A1', 'US20170134405A1', 'JP2017538186A', 'US9832214B2', 'US10025929B2', 'US9369476B2', 'US8607340B2', 'US20200014734A1', 'US9104864B2', 'US20200076804A1', 'US9210182B2', 'US20190363893A1', 'US10742676B2', 'US20180041537A1']","
A behavior-based security system of a computing device may be protected from non-benign behavior, malware, and cyber attacks by configuring the device to work in conjunction with another component (e.g., a server) to monitor the accuracy and performance of the security system, and determine whether the system is working correctly, efficiently, or as expected. This may be accomplished via the server generating artificial attack software, sending the generated artificial attack software to the mobile device to simulate non-benign behavior in the mobile device, such as a cyber attack, and determining whether the behavior-based security system of the mobile device responded adequately to the simulated non-benign behavior. The sever may send a dead-man signal to the mobile device in response to determining that the behavior-based security system of the mobile device did not respond adequately to the simulated non-benign behavior.
",H04,2016,"
a behavior-based security system of a computing device may be protected from non-benign behavior malware and cyber attacks by configuring the device to work in conjunction with another component (eg a server) to monitor the accuracy and performance of the security system and determine whether the system is working correctly efficiently or as expected this may be accomplished via the server generating artificial attack software sending the generated artificial attack software to the mobile device to simulate non-benign behavior in the mobile device such as a cyber attack and determining whether the behavior-based security system of the mobile device responded adequately to the simulated non-benign behavior the sever may send a dead-man signal to the mobile device in response to determining that the behavior-based security system of the mobile device did not respond adequately to the simulated non-benign behavior
",0,H04_0,2,5.0,5.0,5.0
KR20180013940A,788,Cross-module behavioral validation ,2018-02-07,"['KR20180044295A', 'US10104107B2', 'US9858525B2', 'US9323929B2', 'US9684775B2', 'US9690635B2', 'US9330257B2', 'US9609456B2', 'US9357397B2', 'US20140150100A1', 'CN102509039B', 'JP6239807B1', 'US9519775B2', 'US9189624B2', 'JP2018508071A', 'US9774614B2', 'CN106716382B', 'US10187415B2', 'EP3271860B1', 'US9448859B2', 'US9491187B2', 'US20170161478A1']","
Various aspects of systems, methods, and devices enable a method of cross-module behavior verification. A plurality of observer modules of the system may observe the behavior or behaviors of the observed modules of the system. Each of the observer modules may generate a behavioral representation based on the behavior or behavior of the observed module. Each observer module may apply the behavior representation to a suitable behavior classifier model for each observer module. The observer modules may aggregate the groupings of behaviors of the observed module as determined by each of the observer modules. Observer modules may determine whether the observed module is behaving abnormally based on the aggregated classification.

 

",G06,2018,"
various aspects of systems methods and devices enable a method of cross-module behavior verification a plurality of observer modules of the system may observe the behavior or behaviors of the observed modules of the system each of the observer modules may generate a behavioral representation based on the behavior or behavior of the observed module each observer module may apply the behavior representation to a suitable behavior classifier model for each observer module the observer modules may aggregate the groupings of behaviors of the observed module as determined by each of the observer modules observer modules may determine whether the observed module is behaving abnormally based on the aggregated classification

 

",0,G06_0,2,5.0,5.0,5.0
