code,Unnamed: 0,title,pub_date,citations,abstract,class,year,abstract_processed,topic,class_topic,core,louvain,LCcore
US9071969B2,44,"System, device, and method of detecting identity of a user of an electronic device ",2015-06-30,"['US9122456B2', 'US9531710B2', 'US9531733B2', 'US10032010B2', 'US9547766B2', 'US10164985B2', 'US20170270289A1', 'US10069852B2', 'US9418221B2', 'US20180107836A1', 'US9921659B2', 'CN104951681B', 'US10565569B2', 'US9848009B2', 'US9626677B2', 'US9450971B2', 'US10621585B2', 'US9477826B2', 'US9542541B1', 'US9838373B2', 'US20190347632A1', 'JP6542324B2', 'US10037421B2']","
A method for confirming identity of a user of a mobile electronic device, the method including: receiving touch data from a touch-screen of the mobile electronic device; receiving acceleration data from an accelerometer of the mobile electronic device; correlating between the touch data and the acceleration data; based on the correlating, generating a user-specific trait indicative of said user. The method further includes storing a reference value of the user-specific trait, indicative of said user; in a subsequent usage session of the mobile electronic device, generating a current value of the user-specific trait correlating between touch data and acceleration data; and based on a comparison between the current value of the user-specific trait and the reference value of the user-specific trait, determining whether or not a current user of the mobile electronic device is an authorized user of the mobile electronic device.
",H04,2015,"
a method for confirming identity of a user of a mobile electronic device the method including: receiving touch data from a touch-screen of the mobile electronic device; receiving acceleration data from an accelerometer of the mobile electronic device; correlating between the touch data and the acceleration data; based on the correlating generating a user-specific trait indicative of said user the method further includes storing a reference value of the user-specific trait indicative of said user; in a subsequent usage session of the mobile electronic device generating a current value of the user-specific trait correlating between touch data and acceleration data; and based on a comparison between the current value of the user-specific trait and the reference value of the user-specific trait determining whether or not a current user of the mobile electronic device is an authorized user of the mobile electronic device
",1,H04_1,2,0.0,8.0
US10586036B2,69,"System, device, and method of recovery and resetting of user authentication factor ",2020-03-10,"['US9207772B2', 'US10740758B2', 'US10567376B2', 'JP6820062B2', 'US20200327458A1', 'US20180160309A1', 'CN107077551B', 'US9703953B2', 'US9712558B2', 'US10735432B2', 'US9529987B2', 'CN106575401B', 'US10079853B2', 'US10157273B2', 'US9794228B2', 'US10200360B2', 'US10523680B2', 'US9838373B2', 'US10114935B2', 'US8806610B2', 'US10558792B2', 'JP6565230B2']","
Devices, systems, and methods of password recovery and password reset, as well as resetting or recovering other types of user-authentication factor. A system monitors and tracks user-interactions that are performed by a user of an electronic device or a computerized service. The system defines a user-specific task or challenge, in which the user is requested to enter a phrase or perform a task. A user-specific feature is extracted from the manner in which the user performs the task. Subsequently, that user-specific feature is utilized instead of a security question, in order to verify the identity of the user and to allow the user to perform password reset or to perform a reset of another user-authentication factor; by presenting to the user the same task or a similar task, and monitoring the manner in which the user performs the fresh task.
",G06,2020,"
devices systems and methods of password recovery and password reset as well as resetting or recovering other types of user-authentication factor a system monitors and tracks user-interactions that are performed by a user of an electronic device or a computerized service the system defines a user-specific task or challenge in which the user is requested to enter a phrase or perform a task a user-specific feature is extracted from the manner in which the user performs the task subsequently that user-specific feature is utilized instead of a security question in order to verify the identity of the user and to allow the user to perform password reset or to perform a reset of another user-authentication factor; by presenting to the user the same task or a similar task and monitoring the manner in which the user performs the fresh task
",1,G06_1,2,0.0,8.0
US10069852B2,81,Detection of computerized bots and automated cyber-attack modules ,2018-09-04,"['US9787723B2', 'US10044730B1', 'US9788203B2', 'US10740758B2', 'US10395018B2', 'US9043905B1', 'US20200327458A1', 'US10091180B1', 'EP3368973B1', 'US10735432B2', 'US20170235954A1', 'JP6239808B1', 'EP3044696B1', 'US9225737B2', 'US10068076B1', 'US8646060B1', 'US10313389B2', 'US9794228B2', 'US9813446B2', 'US9552470B2', 'US20190364019A1']","
Devices, systems, and methods of detecting whether an electronic device or computerized device or computer, is being controlled by a legitimate human user, or by an automated cyber-attack unit or malware or automatic script. The system monitors interactions performed via one or more input units of the electronic device. The system searches for abnormal input-user interactions; or for an abnormal discrepancy between: the input-unit gestures that were actually registered by the input unit, and the content that the electronic device reports as allegedly entered via such input units. A discrepancy or abnormality indicates that more-possibly, or necessarily or certainly, a malware or automated script is controlling the electronic device, rather than a legitimate human user. Optionally, an input-output aberration or interference is injected, in order to check for manual corrective actions that only a human user, and not an automated script, is able to perform.
",H04,2018,"
devices systems and methods of detecting whether an electronic device or computerized device or computer is being controlled by a legitimate human user or by an automated cyber-attack unit or malware or automatic script the system monitors interactions performed via one or more input units of the electronic device the system searches for abnormal input-user interactions; or for an abnormal discrepancy between: the input-unit gestures that were actually registered by the input unit and the content that the electronic device reports as allegedly entered via such input units a discrepancy or abnormality indicates that more-possibly or necessarily or certainly a malware or automated script is controlling the electronic device rather than a legitimate human user optionally an input-output aberration or interference is injected in order to check for manual corrective actions that only a human user and not an automated script is able to perform
",1,H04_1,2,0.0,8.0
US20190364019A1,85,Evaluating and modifying countermeasures based on aggregate transaction status ,2019-11-28,"['US10454955B2', 'US10412111B2', 'US10042999B2', 'US20180191754A1', 'US9832213B2', 'US10567419B2', 'US9703953B2', 'US7934253B2', 'US10628582B2', 'US10530796B2', 'US10848517B1', 'US10708287B2', 'US10701094B2', 'CN106716958B', 'US9536071B2', 'US10333924B2', 'US9942250B2', 'US20190260784A1', 'US20190140835A1', 'EP2892197B1', 'US9015846B2']","
Techniques are provided for evaluating and modifying countermeasures based on aggregate transaction status. A first expression pattern is determined that occurs in each of first response messages served by the web server system in response to successful transactions of the transaction type. A second expression pattern is determined that occurs in each of second response messages served by the web server system in response to non-successful transactions of the transaction type requested. Aa status is determined for each of a plurality of transactions of the transaction type based on matching the first expression pattern or the second expression pattern to response messages served by the web server system. Aggregate status information for the transaction type based on the status for the set of operations is updated. Based on a change in the aggregate status information, a set of one or more security countermeasures is updated.
",H04,2019,"
techniques are provided for evaluating and modifying countermeasures based on aggregate transaction status a first expression pattern is determined that occurs in each of first response messages served by the web server system in response to successful transactions of the transaction type a second expression pattern is determined that occurs in each of second response messages served by the web server system in response to non-successful transactions of the transaction type requested aa status is determined for each of a plurality of transactions of the transaction type based on matching the first expression pattern or the second expression pattern to response messages served by the web server system aggregate status information for the transaction type based on the status for the set of operations is updated based on a change in the aggregate status information a set of one or more security countermeasures is updated
",5,H04_5,2,0.0,8.0
US10735432B2,88,Personalized inferred authentication for virtual assistance ,2020-08-04,"['US10505926B2', 'US10032010B2', 'US10164985B2', 'US10740758B2', 'US10009327B2', 'US9813454B2', 'US10586036B2', 'US20190363893A1', 'US10509907B2', 'US10257127B2', 'US9848009B2', 'US20170180332A1', 'JP2018033162A', 'US9455988B2', 'US10769635B2', 'JP2019061688A', 'US10032008B2', 'US10044761B2', 'US9794228B2', 'US20200257781A1', 'EP3198911B1', 'US10057227B1', 'KR20200092368A']","
Aspects of the technology described herein provide a mechanism for controlling access to secure computing resources based on inferred user authentication. A current user may be authenticated and access to secure computing resources permitted based on a determined probability that the current user is a legitimate user associated with the secure computing resource. Legitimacy of the current user may be inferred based on a comparison of user-related activity of the current user to a persona model, which may comprise behavior patterns, rules, or other information for identifying a legitimate user. If it is determined that the current user is likely legitimate, then access to secure information may be permitted. However, if it is determined that the current user is likely illegitimate, than a verification procedure may be provided to the current user, such as a temporal, dynamic security challenge based on recent activity conducted by the legitimate user.
",H04,2020,"
aspects of the technology described herein provide a mechanism for controlling access to secure computing resources based on inferred user authentication a current user may be authenticated and access to secure computing resources permitted based on a determined probability that the current user is a legitimate user associated with the secure computing resource legitimacy of the current user may be inferred based on a comparison of user-related activity of the current user to a persona model which may comprise behavior patterns rules or other information for identifying a legitimate user if it is determined that the current user is likely legitimate then access to secure information may be permitted however if it is determined that the current user is likely illegitimate than a verification procedure may be provided to the current user such as a temporal dynamic security challenge based on recent activity conducted by the legitimate user
",1,H04_1,2,0.0,8.0
US10164985B2,142,"Device, system, and method of recovery and resetting of user authentication factor ",2018-12-25,"['US9207772B2', 'US10740758B2', 'US10567376B2', 'JP6820062B2', 'KR101721032B1', 'US20200327458A1', 'US20180160309A1', 'CN107077551B', 'US9712558B2', 'US10735432B2', 'US9529987B2', 'CN106575401B', 'US10079853B2', 'US10157273B2', 'US10200360B2', 'US9838373B2', 'US10114935B2', 'US8806610B2', 'US10558792B2', 'CN104408341B']","
Devices, systems, and methods of password recovery and password reset, as well as resetting or recovering other types of user-authentication factor. A system monitors and tracks user-interactions that are performed by a user of an electronic device or a computerized service. The system defines a user-specific task or challenge, in which the user is requested to enter a phrase or perform a task. A user-specific feature is extracted from the manner in which the user performs the task. Subsequently, that user-specific feature is utilized instead of a security question, in order to verify the identity of the user and to allow the user to perform password reset or to perform a reset of another user-authentication factor; by presenting to the user the same task or a similar task, and monitoring the manner in which the user performs the fresh task.
",H04,2018,"
devices systems and methods of password recovery and password reset as well as resetting or recovering other types of user-authentication factor a system monitors and tracks user-interactions that are performed by a user of an electronic device or a computerized service the system defines a user-specific task or challenge in which the user is requested to enter a phrase or perform a task a user-specific feature is extracted from the manner in which the user performs the task subsequently that user-specific feature is utilized instead of a security question in order to verify the identity of the user and to allow the user to perform password reset or to perform a reset of another user-authentication factor; by presenting to the user the same task or a similar task and monitoring the manner in which the user performs the fresh task
",1,H04_1,2,0.0,8.0
US9477826B2,240,"Device, system, and method of detecting multiple users accessing the same account ",2016-10-25,"['US10230718B2', 'US10049209B2', 'US9071969B2', 'US10164985B2', 'US10839065B2', 'US20190364019A1', 'US10686818B2', 'AU2016315900B2', 'US10735432B2', 'US10754935B2', 'US10834090B2', 'RU2626337C1', 'US10558792B2', 'KR101721032B1', 'US20200327212A1', 'US9552470B2']","
Devices, systems, and methods of detecting user identity, differentiating between users of a computerized service, and detecting a possible attacker. The methods include monitoring of user-side input-unit interactions, in general and in response to an interference introduced to user-interface elements. The monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script, as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account.
",G06,2016,"
devices systems and methods of detecting user identity differentiating between users of a computerized service and detecting a possible attacker the methods include monitoring of user-side input-unit interactions in general and in response to an interference introduced to user-interface elements the monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account
",1,G06_1,2,0.0,8.0
US10686818B2,268,Method and apparatus to detect non-human users on computer systems ,2020-06-16,"['AU2019210493B2', 'US10110619B2', 'US20170085587A1', 'US9547766B2', 'US9626677B2', 'US9690915B2', 'US10579784B2', 'US20200387588A1', 'US20180034850A1', 'US9213990B2', 'US9779423B2', 'JP6239808B1']","
Methods and systems for malicious non-human user detection on computing devices are described. The method includes collecting, by a processing device, raw data corresponding to a user action, converting, by the processing device, the raw data to features, wherein the features represent characteristics of a human user or a malicious code acting as if it were the human user, and comparing, by the processing device, at least one of the features against a corresponding portion of a characteristic model to differentiate the human user from the malicious code acting as if it were the human user.
",H04,2020,"
methods and systems for malicious non-human user detection on computing devices are described the method includes collecting by a processing device raw data corresponding to a user action converting by the processing device the raw data to features wherein the features represent characteristics of a human user or a malicious code acting as if it were the human user and comparing by the processing device at least one of the features against a corresponding portion of a characteristic model to differentiate the human user from the malicious code acting as if it were the human user
",1,H04_1,2,0.0,8.0
US9626677B2,269,"Identification of computerized bots, and identification of automated cyber-attack modules ",2017-04-18,"['KR101977845B1', 'US9787723B2', 'US10044730B1', 'US9788203B2', 'US10042999B2', 'US10740758B2', 'US20200327458A1', 'US10091180B1', 'EP3368973B1', 'US10735432B2', 'US20170201540A1', 'US20170235954A1', 'US8789145B2', 'CN106068512B', 'JP6239808B1', 'US8646060B1', 'CN105229596B', 'US9794228B2', 'US9813446B2', 'US20190364019A1', 'US10558792B2', 'CN104408341B']","
Devices, systems, and methods of detecting whether an electronic device or computerized device or computer, is being controlled by a legitimate human user, or by an automated cyber-attack unit or malware or automatic script. The system monitors interactions performed via one or more input units of the electronic device. The system searches for abnormal input-user interactions; or for an abnormal discrepancy between: the input-unit gestures that were actually registered by the input unit, and the content that the electronic device reports as allegedly entered via such input units. A discrepancy or abnormality indicates that more-possibly a malware or automated script is controlling the electronic device, rather than a legitimate human user. Optionally, an input-output aberration or interference is injected, in order to check for manual corrective actions that only a human user, and not an automated script, is able to perform.
",G06,2017,"
devices systems and methods of detecting whether an electronic device or computerized device or computer is being controlled by a legitimate human user or by an automated cyber-attack unit or malware or automatic script the system monitors interactions performed via one or more input units of the electronic device the system searches for abnormal input-user interactions; or for an abnormal discrepancy between: the input-unit gestures that were actually registered by the input unit and the content that the electronic device reports as allegedly entered via such input units a discrepancy or abnormality indicates that more-possibly a malware or automated script is controlling the electronic device rather than a legitimate human user optionally an input-output aberration or interference is injected in order to check for manual corrective actions that only a human user and not an automated script is able to perform
",1,G06_1,2,0.0,8.0
US9690915B2,270,"Device, method, and system of detecting remote access users and differentiating among users ",2017-06-27,"['US10164985B2', 'US9788203B2', 'US10586036B2', 'US20190373018A1', 'KR101721032B1', 'US10230718B2', 'US10049209B2', 'US10187408B1', 'US10754935B2', 'US10735432B2', 'US10834090B2', 'US20170201540A1', 'US20200045076A1', 'US20190236250A1', 'AU2016315900B2', 'US10686818B2', 'US10019744B2', 'US9071969B2', 'US10476873B2', 'US10558792B2']","
Devices, systems, and methods of detecting user identity, differentiating between users of a computerized service, detecting a possible cyber-attacker, detecting a remote access user, and detecting an automated script or malware. The methods include monitoring of user-side input-unit interactions, in general and in response to an interference introduced to user-interface elements. The monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script, as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account.
",G06,2017,"
devices systems and methods of detecting user identity differentiating between users of a computerized service detecting a possible cyber-attacker detecting a remote access user and detecting an automated script or malware the methods include monitoring of user-side input-unit interactions in general and in response to an interference introduced to user-interface elements the monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account
",1,G06_1,2,0.0,8.0
